docId,city_name,country_name,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
138,"Warsaw","Poland",67,5279,9,20,33,42,76,123,10656,58
139,"Lisbon","Portugal",156,639,4045,22,601,72,15,74,10170,137
140,"Bucharest","Romania",268,4478,9,38,49,15,62,201,9778,3
141,"Moscow","Russia",194,827,19,49,84,82,3811,13,10828,77
142,"San Marino","San Marino",1495,31,7,3,32,48,7,23,3087,4
143,"Belgrade","Serbia",4785,329,3,34,21,17,8,32,7597,44
144,"Bratislava","Slovakia",181,3112,5,6,13,12,10,9,5170,4
145,"Ljubljana","Slovenia",1380,4192,26,22,32,76,12,93,8208,77
146,"Madrid","Spain",189,478,47,120,2753,144,20,407,8327,70
147,"Stockholm","Sweden",19,3804,1,14,22,13,27,32,10071,13
148,"Bern","Switzerland",2012,689,19,11,35,53,18,362,7603,107
149,"Tiraspol","Transnistria",60,93,3,13,13,1,2356,11,4307,11
150,"Kiev","Ukraine",78,721,4,4,6,6,3899,3,11540,6
151,"London","United Kingdom",70,488,17,35,15,4443,15,9,13237,1
152,"Vatican City","Vatican City",1908,95,13,19,18,131,19,32,3859,4
153,"St. John's","Antigua and Barbuda",3,8,9,12,63,1955,3,2,2000,33
154,"Nassau","Bahamas",4,13,5,3,76,2653,3,9,3425,63
155,"Bridgetown","Barbados",4,7,414,28,90,2882,5,11,3956,97
156,"Belmopan","Belize",16,6,14,8,525,2580,5,3,5339,68
157,"Ottawa","Canada",15,48,7,28,53,2161,50,149,6933,11
158,"San José","Costa Rica",3,6,15,10,2362,41,19,17,4106,8
159,"Havana","Cuba",3,26,16,30,2602,120,65,46,6620,156
160,"Roseau","Dominica",18,17,3,8,104,1928,9,94,2600,182
161,"Santo Domingo","Dominican Republic",10,17,10,7,3822,106,22,16,7481,12
162,"San Salvador","El Salvador",14,19,6,14,3569,16,10,13,6211,10
163,"St. George's","Grenada",5,2,13,16,56,1672,10,35,2266,11
164,"Guatemala City","Guatemala",5,8,2,5,1850,22,3,7,3814,13
165,"Port-au-Prince","Haiti",3,11,4,11,661,433,8,1989,5511,102
